ad_id,campaign_id,week,budget,platform,format,copy_type,video_length,has_hook,cta_position,has_face,ctr,cvr,cpm
AD_0001,CMP_001,10,1000000,Feed,Carousel,Informational,30,1,End,1,4.06,2.3,15652
AD_0002,CMP_001,11,300000,Stories,Static,Benefit,15,0,Middle,1,4.01,2.94,14967
AD_0003,CMP_001,4,1000000,Reels,UGC,Benefit,90,0,Early,0,3.75,3.05,15795
AD_0004,CMP_001,11,3000000,Feed,Carousel,Informational,90,1,Early,0,3.25,2.06,17376
AD_0005,CMP_001,2,1000000,Stories,Carousel,Benefit,90,0,Early,0,3.04,3.1,15691
AD_0006,CMP_001,4,3000000,Stories,Static,Informational,15,0,End,0,3.35,1.96,17357
AD_0007,CMP_001,1,3000000,Stories,UGC,Emotional,30,1,Middle,1,4.32,2.75,18039
AD_0008,CMP_001,2,1000000,Feed,UGC,Benefit,30,0,End,0,4.14,2.72,16242
AD_0009,CMP_001,8,500000,Reels,Carousel,Emotional,15,0,End,0,4.72,2.15,15434
AD_0010,CMP_001,6,2000000,Stories,Brand,Informational,30,1,Middle,0,3.58,2.28,16272
AD_0011,CMP_002,2,300000,Stories,Carousel,Emotional,15,1,End,0,4.65,2.72,14555
AD_0012,CMP_002,12,2000000,Stories,Carousel,Emotional,30,0,Middle,0,3.53,2.66,16977
AD_0013,CMP_002,6,300000,Stories,Carousel,Informational,60,0,Early,0,3.41,2.55,15438
AD_0014,CMP_002,10,300000,Stories,Carousel,Emotional,60,1,Middle,0,4.31,2.17,15736
AD_0015,CMP_002,9,3000000,Reels,Static,Emotional,90,1,Early,1,3.65,3.11,16948
AD_0016,CMP_002,7,300000,Reels,UGC,Informational,60,0,End,1,4.19,2.04,14885
AD_0017,CMP_002,9,300000,Stories,Static,Emotional,60,1,End,1,3.56,2.63,14180
AD_0018,CMP_002,5,1000000,Feed,Static,Informational,60,0,Early,1,3.08,2.42,15553
AD_0019,CMP_002,7,2000000,Reels,Static,Emotional,15,0,End,0,3.82,2.61,16998
AD_0020,CMP_002,11,1000000,Feed,Carousel,Informational,60,0,Middle,1,3.4,2.63,15516
AD_0021,CMP_003,7,300000,Reels,Brand,Informational,60,0,Early,1,3.63,2.66,15320
AD_0022,CMP_003,12,3000000,Stories,UGC,Emotional,90,0,End,0,3.29,2.59,17154
AD_0023,CMP_003,12,1000000,Reels,Brand,Emotional,60,1,Early,0,3.53,2.68,15912
AD_0024,CMP_003,3,1000000,Stories,Static,Emotional,60,1,Middle,1,3.08,2.39,15176
AD_0025,CMP_003,7,500000,Reels,Static,Benefit,30,1,Middle,1,3.99,2.93,15042
AD_0026,CMP_003,1,300000,Stories,Brand,Benefit,90,1,End,0,3.16,2.72,13504
AD_0027,CMP_003,9,3000000,Stories,Brand,Benefit,90,0,Middle,1,2.75,3.52,17156
AD_0028,CMP_003,10,1000000,Stories,Brand,Informational,90,0,Early,0,2.65,2.25,14934
AD_0029,CMP_003,6,1000000,Stories,Static,Emotional,90,0,Middle,0,2.44,2.75,16352
AD_0030,CMP_003,5,3000000,Feed,Static,Informational,90,0,Early,0,2.67,2.63,17638
AD_0031,CMP_004,7,300000,Stories,UGC,Benefit,90,1,Early,0,4.3,3.16,15233
AD_0032,CMP_004,5,500000,Feed,UGC,Emotional,15,0,Middle,1,4.11,2.87,15760
AD_0033,CMP_004,10,1000000,Feed,Static,Informational,60,0,End,0,2.47,2.27,15275
AD_0034,CMP_004,5,500000,Stories,Brand,Emotional,90,1,Middle,0,3.63,2.34,15873
AD_0035,CMP_004,11,2000000,Feed,Brand,Informational,60,1,Early,1,3.2,2.57,16966
AD_0036,CMP_004,10,300000,Reels,UGC,Emotional,60,1,Early,0,4.67,2.65,14881
AD_0037,CMP_004,11,2000000,Stories,Static,Benefit,15,1,Middle,1,4.23,3.03,17067
AD_0038,CMP_004,7,2000000,Feed,UGC,Benefit,90,0,End,1,3.95,3.0,15946
AD_0039,CMP_004,10,2000000,Stories,UGC,Emotional,30,0,End,1,4.52,2.19,16087
AD_0040,CMP_004,7,300000,Stories,Carousel,Informational,15,1,Early,0,4.43,2.8,14695
AD_0041,CMP_005,11,300000,Stories,Carousel,Benefit,30,0,Early,1,3.84,3.04,14735
AD_0042,CMP_005,3,3000000,Feed,Carousel,Benefit,60,0,End,1,3.36,2.91,16721
AD_0043,CMP_005,3,500000,Reels,Brand,Benefit,60,0,Middle,0,3.16,3.05,15611
AD_0044,CMP_005,10,500000,Reels,Static,Emotional,15,1,Early,1,4.84,2.79,14870
AD_0045,CMP_005,12,3000000,Feed,Static,Emotional,15,0,Early,1,3.35,2.67,17426
AD_0046,CMP_005,3,3000000,Stories,Static,Informational,30,1,End,1,4.0,2.08,16964
